,id,createdTime,lastRefresh,price,location,price_per_m,floor_select,furniture,market,builttype,m,rooms
81,769763214,2022-07-18T20:20:27+02:00,2022-07-20T18:31:10+02:00,590000.0,Lublin,10651.74,floor_8,yes,secondary,apartamentowiec,55.39,two
82,770669865,2022-07-23T17:10:10+02:00,2022-07-23T17:15:01+02:00,320000.0,Lublin,8350.73,floor_9,yes,secondary,blok,38.32,two
83,764544292,2022-06-25T10:12:05+02:00,2022-07-22T12:16:13+02:00,524000.0,Lublin,10480,floor_4,yes,secondary,blok,50,three
84,767728613,2022-07-09T11:39:37+02:00,2022-07-24T13:52:20+02:00,1800000.0,Lublin,12000,floor_3,yes,secondary,blok,150,four
85,733564783,2022-01-29T21:30:25+01:00,2022-07-23T23:44:14+02:00,335000.0,Lublin,6442.31,floor_1,no,secondary,kamienica,52,two
86,770198813,2022-07-20T22:57:15+02:00,2022-07-23T13:17:30+02:00,322000.0,Lublin,10637.59,floor_0,yes,secondary,apartamentowiec,30.27,one
87,768069694,2022-07-10T21:33:12+02:00,2022-07-23T12:07:43+02:00,640000.0,Lublin,8938.55,floor_1,yes,secondary,blok,71.6,three
88,769763214,2022-07-18T20:20:27+02:00,2022-07-20T18:31:10+02:00,590000.0,Lublin,10651.74,floor_8,yes,secondary,apartamentowiec,55.39,two
89,749834699,2022-04-11T11:22:01+02:00,2022-07-24T12:29:39+02:00,490000.0,Lublin,7971.37,floor_3,yes,secondary,blok,61.47,four
90,672024474,2021-04-16T21:53:02+02:00,2022-07-22T21:20:16+02:00,680000.0,Lublin,8000,floor_4,yes,secondary,kamienica,85,three
91,766454304,2022-07-03T13:17:42+02:00,2022-07-17T13:32:26+02:00,415000.0,Lublin,7745.43,floor_1,no,primary,blok,53.58,three
92,751409322,2022-04-20T11:33:44+02:00,2022-07-16T04:34:09+02:00,365000.0,Lublin,8004.39,floor_3,no,secondary,blok,45.6,three
93,757128801,2022-05-18T00:09:03+02:00,2022-07-24T11:32:24+02:00,380000.0,Lublin,7916.67,,yes,secondary,blok,48,three
94,746524410,2022-03-28T13:22:02+02:00,2022-07-14T12:26:09+02:00,369000.0,Lublin,8581.4,floor_3,no,secondary,blok,43,two
95,764046725,2022-06-22T14:27:54+02:00,2022-07-22T21:56:22+02:00,525000.0,Lublin,10294.12,floor_1,yes,secondary,blok,51,three
96,751409322,2022-04-20T11:33:44+02:00,2022-07-16T04:34:09+02:00,365000.0,Lublin,8004.39,floor_3,no,secondary,blok,45.6,three
97,768069694,2022-07-10T21:33:12+02:00,2022-07-23T12:07:43+02:00,640000.0,Lublin,8938.55,floor_1,yes,secondary,blok,71.6,three
98,764046725,2022-06-22T14:27:54+02:00,2022-07-22T21:56:22+02:00,525000.0,Lublin,10294.12,floor_1,yes,secondary,blok,51,three
99,761005539,2022-06-06T16:35:04+02:00,2022-07-24T14:32:15+02:00,320000.0,Lublin,8434.37,floor_0,no,secondary,blok,37.94,two
100,769763214,2022-07-18T20:20:27+02:00,2022-07-20T18:31:10+02:00,590000.0,Lublin,10651.74,floor_8,yes,secondary,apartamentowiec,55.39,two
101,767482421,2022-07-08T10:05:33+02:00,2022-07-22T08:50:55+02:00,430000.0,Lublin,6515.15,floor_0,no,secondary,blok,66,three
102,760880718,2022-06-05T22:36:36+02:00,2022-07-22T08:42:49+02:00,629000.0,Lublin,9250,floor_1,yes,secondary,blok,68,four
103,770396689,2022-07-22T00:26:20+02:00,2022-07-22T00:32:53+02:00,619000.0,Lublin,8597.22,floor_1,no,secondary,blok,72,three
104,763209543,2022-06-18T10:12:16+02:00,2022-07-21T22:54:22+02:00,429000.0,Lublin,8199.54,floor_1,yes,secondary,blok,52.32,two
105,766448307,2022-07-03T12:53:12+02:00,2022-07-21T21:35:09+02:00,399000.0,Lublin,8453.39,floor_6,yes,secondary,blok,47.2,two
106,770198813,2022-07-20T22:57:15+02:00,2022-07-23T13:17:30+02:00,322000.0,Lublin,10637.59,floor_0,yes,secondary,apartamentowiec,30.27,one
107,746524410,2022-03-28T13:22:02+02:00,2022-07-14T12:26:09+02:00,369000.0,Lublin,8581.4,floor_3,no,secondary,blok,43,two
108,662700840,2021-03-07T15:51:30+01:00,2022-07-21T20:50:13+02:00,410000.0,Lublin,8266.13,floor_3,no,secondary,blok,49.6,two
109,770270788,2022-07-21T12:17:54+02:00,2022-07-21T20:05:28+02:00,310000.0,Lublin,7209.3,floor_1,yes,secondary,blok,43,two
110,760503572,2022-06-03T18:34:53+02:00,2022-07-21T20:01:00+02:00,322000.0,Lublin,8702.7,floor_1,no,secondary,blok,37,two
111,763876389,2022-06-21T18:02:33+02:00,2022-07-21T18:20:42+02:00,506000.0,Lublin,11500,floor_1,yes,secondary,blok,44,two
112,766479673,2022-07-03T15:08:20+02:00,2022-07-21T18:19:32+02:00,570000.0,Lublin,8507.46,floor_2,yes,secondary,pozostale,67,four
113,764438569,2022-06-24T15:27:46+02:00,2022-07-21T18:13:11+02:00,615000.0,Lublin,10789.47,floor_2,yes,secondary,blok,57,three
114,759250710,2022-05-28T13:08:00+02:00,2022-07-22T15:20:37+02:00,330000.0,Lublin,7249.56,floor_0,no,secondary,blok,45.52,three
115,764544292,2022-06-25T10:12:05+02:00,2022-07-22T12:16:13+02:00,524000.0,Lublin,10480,floor_4,yes,secondary,blok,50,three
116,731610120,2022-01-21T17:19:59+01:00,2022-07-11T08:06:25+02:00,385000.0,Lublin,8260.03,floor_0,no,primary,blok,46.61,two
117,755524113,2022-05-10T11:14:00+02:00,2022-07-21T18:07:47+02:00,405000.0,Lublin,9000,floor_1,yes,secondary,blok,45,two
118,761005539,2022-06-06T16:35:04+02:00,2022-07-24T14:32:15+02:00,320000.0,Lublin,8434.37,floor_0,no,secondary,blok,37.94,two
119,766947452,2022-07-05T20:04:47+02:00,2022-07-20T12:36:05+02:00,430000.0,Lublin,8620.69,floor_2,no,secondary,blok,49.88,three
120,770298495,2022-07-21T14:11:31+02:00,2022-07-21T14:16:19+02:00,110000.0,Lublin,3125,floor_3,no,secondary,blok,35.2,two
121,757128801,2022-05-18T00:09:03+02:00,2022-07-24T11:32:24+02:00,380000.0,Lublin,7916.67,,yes,secondary,blok,48,three
122,770669865,2022-07-23T17:10:10+02:00,2022-07-23T17:15:01+02:00,320000.0,Lublin,8350.73,floor_9,yes,secondary,blok,38.32,two
123,767728613,2022-07-09T11:39:37+02:00,2022-07-24T13:52:20+02:00,1800000.0,Lublin,12000,floor_3,yes,secondary,blok,150,four
124,770270503,2022-07-21T12:16:56+02:00,2022-07-21T12:25:12+02:00,450000.0,Lublin,7500,floor_3,no,secondary,blok,60,three
125,770576657,2022-07-23T07:24:13+02:00,2022-07-23T07:31:30+02:00,450000.0,Lublin,7537.69,floor_1,yes,secondary,blok,59.7,four
126,764046725,2022-06-22T14:27:54+02:00,2022-07-22T21:56:22+02:00,525000.0,Lublin,10294.12,floor_1,yes,secondary,blok,51,three
127,744501317,2022-03-19T16:22:12+01:00,2022-07-23T14:44:32+02:00,339000.0,Lublin,8692.31,floor_7,no,secondary,blok,39,two
128,749834699,2022-04-11T11:22:01+02:00,2022-07-24T12:29:39+02:00,490000.0,Lublin,7971.37,floor_3,yes,secondary,blok,61.47,four
129,759250710,2022-05-28T13:08:00+02:00,2022-07-22T15:20:37+02:00,330000.0,Lublin,7249.56,floor_0,no,secondary,blok,45.52,three
130,770240747,2022-07-21T10:38:28+02:00,2022-07-21T11:06:20+02:00,200000.0,Lublin,9090.91,floor_0,no,secondary,blok,22,one
131,763008866,2022-06-17T08:58:50+02:00,2022-07-21T10:17:46+02:00,499999.0,Lublin,8680.54,floor_0,yes,secondary,blok,57.6,three
132,768069694,2022-07-10T21:33:12+02:00,2022-07-23T12:07:43+02:00,640000.0,Lublin,8938.55,floor_1,yes,secondary,blok,71.6,three
133,769763214,2022-07-18T20:20:27+02:00,2022-07-20T18:31:10+02:00,590000.0,Lublin,10651.74,floor_8,yes,secondary,apartamentowiec,55.39,two
134,770576657,2022-07-23T07:24:13+02:00,2022-07-23T07:31:30+02:00,450000.0,Lublin,7537.69,floor_1,yes,secondary,blok,59.7,four
135,763452543,2022-06-19T18:23:48+02:00,2022-07-21T09:15:33+02:00,260000.0,Lublin,5000,floor_0,yes,secondary,kamienica,52,two
136,770217015,2022-07-21T08:00:07+02:00,2022-07-21T08:07:24+02:00,360000.0,Lublin,9000,,no,secondary,blok,40,two
137,766454304,2022-07-03T13:17:42+02:00,2022-07-17T13:32:26+02:00,415000.0,Lublin,7745.43,floor_1,no,primary,blok,53.58,three
138,744501317,2022-03-19T16:22:12+01:00,2022-07-23T14:44:32+02:00,339000.0,Lublin,8692.31,floor_7,no,secondary,blok,39,two
139,757128801,2022-05-18T00:09:03+02:00,2022-07-24T11:32:24+02:00,380000.0,Lublin,7916.67,,yes,secondary,blok,48,three
140,758772280,2022-05-25T19:12:46+02:00,2022-07-21T01:21:36+02:00,390000.0,Lublin,10436.18,floor_2,yes,secondary,blok,37.37,two
141,770206215,2022-07-21T00:16:10+02:00,2022-07-21T00:27:22+02:00,409000.0,Lublin,8574.42,floor_2,yes,secondary,blok,47.7,three
