,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
49,53.97,2022,lublin,floor_5,62591550,primary,437157,8100,2021-12-17 13:13:07,2022-08-02 17:14:18,3,block,https://www.otodom.pl/pl/oferta/3-pok-bez-pcc-klucze-mp-ID4eCW8.html
50,48,1978,lublin,floor_9,62812621,secondary,299000,6229,2022-02-24 13:53:53,2022-07-25 14:10:15,3,block,https://www.otodom.pl/pl/oferta/okazja-3-pokoje-blekitna-ID4fyqN.html
51,50.92,2023,lublin,floor_2,62685781,primary,358986,7050,2022-01-21 14:02:27,2022-07-25 12:04:36,3,block,https://www.otodom.pl/pl/oferta/nowe-mieszkania-okolice-abramowickiej-ID4f1qZ.html
52,47.9,1991,lublin,floor_1,61592042,secondary,395000,8246,2021-03-07 11:28:08,2022-07-28 08:38:48,2,block,https://www.otodom.pl/pl/oferta/mieszkanie-ID4aqU2.html
53,,,,,,,,,,,,,
54,30.33,1960,lublin,floor_1,62810465,secondary,255000,8408,2022-02-23 22:15:18,2022-07-25 14:10:14,2,tenement,https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-blisko-centrum-dziesiata-ID4fxS1.html
55,50.77,2023,lublin,ground_floor,62784080,primary,357928,7050,2022-02-17 15:12:12,2022-07-25 11:20:51,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-sloneczne-z-pieknym-widokiem-ID4fr0s.html
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,80.69,2010,lublin,floor_2,62281443,secondary,649000,8043,2021-09-15 11:42:12,2022-07-31 01:30:15,3,block,https://www.otodom.pl/pl/oferta/81m2czubydo-wejscia2-pietroteren-ogrodzony-ID4dkfp.html
59,43.96,1889,lublin,floor_4,63060782,secondary,459000,10441,2022-05-09 14:14:25,2022-08-07 15:01:37,2,tenement,https://www.otodom.pl/pl/oferta/centrum-wieniawska-2-pokoje-ID4gAZo.html
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,85,2011,lublin,floor_3,62843466,secondary,690000,8118,2022-03-04 17:52:13,2022-08-01 19:16:10,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-2-poziomowe-bazylianowka-ID4fGsi.html
63,,,,,,,,,,,,,
64,,,,,,,,,,,,,
65,48.2,1978,lublin,floor_1,62768559,secondary,459000,9523,2022-02-14 12:12:08,2022-07-25 16:12:32,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pok-na-kalinowszczyznie-ID4fmY7.html
66,,,,,,,,,,,,,
67,47.46,2001,lublin,floor_3,62946417,secondary,340000,7164,2022-04-03 10:01:28,2022-08-05 15:42:53,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-poddasze-47m2-pilna-sprzedaz-ID4g7eN.html
68,61.8,1973,lublin,floor_1,63170353,secondary,485000,7848,2022-06-07 11:51:26,2022-08-06 12:15:48,4,block,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-ul-p-wolodyjowskiego-lsm-ID4h3uF.html
69,99.8,2001,lublin,floor_2,62985394,secondary,799000,8006,2022-04-14 10:22:33,2022-07-25 11:57:17,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-99-80-m-lublin-ID4ghns.html
70,60.49,2008,lublin,ground_floor,62828421,secondary,554500,9167,2022-03-01 14:02:05,2022-07-29 15:15:22,2,block,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-61-m-2-bazylianowka-ID4fCxD.html
71,51.54,2008,lublin,ground_floor,62925712,secondary,489000,9488,2022-03-28 15:50:40,2022-07-26 20:09:03,2,block,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-ul-dozynkowa-ID4g1QQ.html
72,54.5,1965,lublin,floor_2,63073867,secondary,489000,8972,2022-05-12 11:03:39,2022-08-05 22:11:42,3,block,https://www.otodom.pl/pl/oferta/piekne-trzypokojowe-mieszkanie-na-lsm-ie-ID4gEor.html
73,,,,,,,,,,,,,
74,49.3,2022,lublin,floor_4,63379939,secondary,525000,10649,2022-08-08 06:29:06,2022-08-08 06:30:17,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-lublin-ul-wolinskiego-blok-2022-ID4hV15.html
75,71.1,2012,lublin,floor_3,63379808,secondary,680000,9564,2022-08-07 22:51:10,2022-08-07 22:51:35,3,block,https://www.otodom.pl/pl/oferta/wyjatkowe-mieszkanie-z-tarasem-i-antresola-ID4hWYY.html
76,75.4,2006,lublin,floor_2,63379675,secondary,677000,8979,2022-08-07 21:16:09,2022-08-08 15:04:09,3,block,https://www.otodom.pl/pl/oferta/nowoczesne-75m2-czuby-3-pok-2-lazienki-2-balk-ID4hWVP.html
77,,,,,,,,,,,,,
78,28,2021,lublin,ground_floor,63331788,secondary,334700,11954,2022-07-23 20:30:44,2022-08-07 20:32:18,1,apartment,https://www.otodom.pl/pl/oferta/nowoczesna-kawalerka-z-ogrodkiem-i-klimatyzacja-ID4hJus.html
79,48.9,1986,lublin,floor_3,63326069,secondary,359900,7360,2022-07-21 15:55:33,2022-08-07 18:55:51,2,block,https://www.otodom.pl/pl/oferta/2-3-pokoje-dwustronne-duzy-balkon-niski-blok-ID4hI0d.html
80,68.08,2022,lublin,floor_1,63283361,secondary,558256,8200,2022-07-09 18:25:31,2022-08-07 17:57:03,3,block,https://www.otodom.pl/pl/oferta/eko-park-w-stanie-deweloperskim-bez-posrednikow-ID4hvTn.html
81,46.94,2023,lublin,floor_3,62704916,primary,347356,7400,2022-01-27 10:52:59,2022-07-31 19:01:24,2,block,https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-48-ID4f6pC.html
82,60,2008,lublin,floor_2,63322701,secondary,530000,8833,2022-07-20 17:01:51,2022-08-07 15:33:26,3,block,https://www.otodom.pl/pl/oferta/przestronne-trzy-pokoje-na-ponikwodzie-ID4hH7T.html
83,71.58,2008,lublin,ground_floor,63332856,secondary,599000,8368,2022-07-24 20:57:38,2022-08-07 15:29:52,3,block,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-w-bardzo-dobrej-lokalizacji-ID4hJLG.html
84,60.3,1979,lublin,floor_2,63366046,secondary,449000,7446,2022-08-03 12:59:12,2022-08-07 15:23:08,3,block,https://www.otodom.pl/pl/oferta/czuby-3-pokoje-blisko-uczelni-niski-blok-2-4-ID4hSp0.html
85,,,,,,,,,,,,,
86,70.96,2022,lublin,floor_2,63289724,primary,575000,8103,2022-07-11 18:21:30,2022-08-07 14:15:18,3,apartment,https://www.otodom.pl/pl/oferta/lublin-czuby-orkana-residence-okazja-na-juz-ID4hyy0.html
87,45.7,1968,lublin,floor_4,63278524,secondary,347000,7593,2022-07-08 10:35:34,2022-08-07 10:45:42,2,block,https://www.otodom.pl/pl/oferta/2-3-pokoje-lsm-ul-skierki-ID4hwDm.html
88,52,1988,lublin,ground_floor,63133154,secondary,499000,9596,2022-05-27 14:30:07,2022-08-03 08:18:31,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-52m2-mieszkanie-stolarza-do-wejscia-ID4gTOG.html
89,50.91,2020,lublin,ground_floor,63190508,secondary,580000,11393,2022-06-12 19:33:49,2022-08-07 19:36:32,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-51m2-3-pokoje-ogrod-100m2-wrotkow-ID4h8JK.html
90,27,1967,lublin,floor_2,63131776,secondary,235000,8704,2022-05-27 11:24:19,2022-07-28 13:28:07,1,block,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-okazja-ID4gTss.html
91,,,,,,,,,,,,,
92,62.8,1988,lublin,floor_4,63080948,secondary,480000,7643,2022-05-13 17:03:14,2022-07-18 20:23:16,3,block,https://www.otodom.pl/pl/oferta/trzypokojowe-wieniawa-ul-pulawska-ID4gGeE.html
93,,,,,,,,,,,,,
94,78,2007,lublin,floor_1,63231921,secondary,499000,6397,2022-06-24 18:22:59,2022-08-05 17:31:29,3,house,https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-78m2-taras-garaz-ogrode-ID4hjwH.html
95,61.1,1979,lublin,floor_4,63232287,secondary,499000,8167,2022-06-24 22:05:20,2022-07-25 09:08:12,3,block,https://www.otodom.pl/pl/oferta/czuby-ul-goscinna-3-pokoje-ID4hjBB.html
96,38,2021,lublin,ground_floor,63186022,secondary,320000,8421,2022-06-10 14:51:48,2022-08-08 10:00:42,2,block,https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-2-pokojowe-wrotkow-ID4h7zo.html
97,38.21,1957,lublin,floor_4,63015785,secondary,389000,10181,2022-04-25 10:52:24,2022-08-03 12:52:19,2,block,https://www.otodom.pl/pl/oferta/atrakcyjna-lokalizacja-centrum-ID4gphD.html
98,,,,,,,,,,,,,
99,60,2008,lublin,floor_3,63131621,secondary,459000,7650,2022-05-27 10:55:10,2022-07-28 13:23:25,3,block,https://www.otodom.pl/pl/oferta/do-wejscia-3-pokoje-blok-2008r-okazja-ID4gTpX.html
100,49.56,2001,lublin,floor_1,63032050,secondary,415000,8374,2022-04-29 07:55:05,2022-08-07 18:55:32,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-1-pietro-duzy-balkon-poreba-ID4gtwY.html
101,43.41,2022,lublin,ground_floor,62646533,primary,360303,8300,2022-01-11 08:53:00,2022-07-18 19:01:14,2,block,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-osiedle-koralowe-k9-61-ID4eRdX.html
102,70.94,2022,lublin,floor_2,62931060,primary,610000,8599,2022-03-29 17:50:44,2022-08-02 17:13:04,3,apartment,https://www.otodom.pl/pl/oferta/apartament-70-92-m2-orkana-residence-ID4g3f6.html
103,57.53,2015,lublin,floor_4,62575539,secondary,575000,9995,2021-12-12 16:02:06,2022-08-05 09:41:22,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-ul-koralowa-z-klimatyzacja-ID4eyKT.html
104,48.29,2011,lublin,floor_3,63325730,secondary,419000,8677,2022-07-21 14:54:24,2022-08-07 09:19:23,2,block,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-winda-duzy-balkon-ID4hHUK.html
105,73.86,2011,lublin,floor_3,63376045,secondary,659000,8922,2022-08-05 15:54:07,2022-08-07 09:17:05,3,block,https://www.otodom.pl/pl/oferta/3-pokojowe-w-bardzo-wysokim-standardzie-ID4hW0h.html
106,56,2000,lublin,floor_3,63376374,secondary,465000,8304,2022-08-05 17:03:26,2022-08-08 08:39:03,3,block,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-ul-jutrzenki-czuby-ID4hW5A.html
107,46.94,2023,lublin,floor_3,62704916,primary,347356,7400,2022-01-27 10:52:59,2022-07-31 19:01:24,2,block,https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-48-ID4f6pC.html
108,48.1,1976,lublin,floor_2,63378359,secondary,360000,7484,2022-08-06 21:05:35,2022-08-06 21:13:27,3,block,https://www.otodom.pl/pl/oferta/sprzedam-3-pokoje-czechow-ul-braci-wieniawskich-6-ID4hWBB.html
109,60,1986,lublin,ground_floor,63312645,secondary,409000,6817,2022-07-18 12:54:40,2022-08-07 09:14:24,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-balkon-niski-blok-rozklad-ID4hEwH.html
110,60,1975,lublin,floor_1,63312647,secondary,535000,8917,2022-07-18 12:54:58,2022-08-07 09:15:19,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-pierwsze-pietro-blisko-um-niski-blok-ID4hEwJ.html
111,50,2001,lublin,floor_1,63375955,secondary,407000,8140,2022-08-05 15:35:11,2022-08-06 19:36:24,2,block,https://www.otodom.pl/pl/oferta/rozkladowe-2-pokoje-1-pietro-os-poreba-ID4hUYP.html
112,43.12,2022,lublin,ground_floor,63329721,primary,409640,9500,2022-07-22 16:14:32,2022-08-06 16:16:22,2,apartment,https://www.otodom.pl/pl/oferta/mieszkanie-43-12-m-lublin-ID4hIX7.html
113,67.33,2022,lublin,floor_1,63329686,primary,605970,9000,2022-07-22 16:10:05,2022-08-06 16:11:18,4,apartment,https://www.otodom.pl/pl/oferta/apartament-do-sprzedania-ID4hIVy.html
