,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
60,36.77,2024,lublin,floor_1,62823030,primary,323576,8800,2022-02-28 13:07:05,2022-07-30 09:01:17,2,apartment,https://www.otodom.pl/pl/oferta/green-park-funkcjonalny-apartament-a2-8-ID4fB8G.html
61,60.4,1996,lublin,floor_2,63053191,secondary,487000,8063,2022-05-06 14:52:06,2022-07-29 13:55:38,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-rozklad-kameralne-duzy-balkon-ID4gz0X.html
62,68.3,2010,lublin,floor_3,63350342,secondary,539000,7892,2022-07-29 11:54:16,2022-07-29 12:39:55,4,block,https://www.otodom.pl/pl/oferta/komfortowe-dwupoziomowe-mieszkanie-do-wejscia-ID4hOjI.html
63,62.5,1992,lublin,floor_3,63349704,secondary,490000,7840,2022-07-29 09:55:21,2022-07-29 12:40:28,3,block,https://www.otodom.pl/pl/oferta/trzy-pokoje-rozkladowe-czuby-ID4hO9q.html
64,44.38,1968,lublin,floor_1,63349701,secondary,315000,7098,2022-07-29 09:55:11,2022-07-29 12:41:10,2,block,https://www.otodom.pl/pl/oferta/2-pokojowe-oddzielna-kuchnia-tatary-ID4hO9n.html
65,48.3,1971,lublin,floor_8,63346101,secondary,419000,8675,2022-07-28 09:55:19,2022-07-29 13:55:54,3,block,https://www.otodom.pl/pl/oferta/lsm-3-pokoje-rozklad-winda-inwestycyjne-ID4hNdj.html
66,66.54,2022,lublin,floor_4,63245391,primary,599000,9002,2022-06-29 12:16:21,2022-07-29 12:25:14,3,apartment,https://www.otodom.pl/pl/oferta/czuby-os-jutrzenki-3-pokoje-deweloperskie-winda-ID4hn0X.html
67,50,2006,lublin,floor_1,63301016,secondary,499000,9980,2022-07-14 13:16:12,2022-07-29 11:43:00,3,block,https://www.otodom.pl/pl/oferta/wysoki-standard-czuby-3-pokoje-widok-na-las-ID4hBu8.html
68,,,,,,,,,,,,,
69,50.49,2017,lublin,floor_1,63245383,secondary,640000,12676,2022-06-29 12:15:47,2022-07-29 11:47:18,2,apartment,https://www.otodom.pl/pl/oferta/srodmiescie-blisko-um-nowe-kameralne-winda-ID4hn0P.html
70,58.8,2022,lublin,ground_floor,63350130,primary,646800,11000,2022-07-29 11:06:26,2022-07-29 12:33:20,3,apartment,https://www.otodom.pl/pl/oferta/nowe-biuro-mieszkanie-kwarcowa-lublin-ID4hOgi.html
71,89.1,1981,lublin,ground_floor,63304250,secondary,670000,7520,2022-07-15 11:02:27,2022-07-29 11:04:15,4,block,https://www.otodom.pl/pl/oferta/4-7-pokoi-czuby-skarpa-ID4hCki.html
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,53.1,1995,lublin,ground_floor,63295912,secondary,389000,7326,2022-07-13 10:52:47,2022-07-29 10:32:43,2,block,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-bazylianowka-2pokoje-ID4hA9O.html
75,49.44,2010,lublin,floor_1,63194342,secondary,425000,8596,2022-06-13 17:11:18,2022-07-27 18:03:02,2,block,https://www.otodom.pl/pl/oferta/ponikwoda-dozynkowa-2010-pietro-1-ID4h9JA.html
76,48.3,2011,lublin,floor_3,63132447,secondary,399000,8261,2022-05-27 12:50:45,2022-07-30 13:55:22,2,block,https://www.otodom.pl/pl/oferta/sloneczne-dwa-pokoje-weglinek-ID4gTDh.html
77,93.91,2021,lublin,floor_1,63198657,secondary,1099000,11703,2022-06-15 09:53:29,2022-07-30 17:05:08,4,apartment,https://www.otodom.pl/pl/oferta/luksusowo-wykonczony-apartament-z-2021-slawin-film-ID4haRb.html
78,,,,,,,,,,,,,
79,32.04,1979,lublin,ground_floor,63052818,secondary,279000,8708,2022-05-06 13:52:32,2022-07-26 09:55:45,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-nowoczesne-po-remoncie-do-wejscia-ID4gyUV.html
80,85,1978,lublin,floor_3,63022329,secondary,630000,7412,2022-04-26 15:50:58,2022-07-29 11:31:14,5,block,https://www.otodom.pl/pl/oferta/mieszkanie-idealne-dla-duzej-rodziny-ID4gqZb.html
81,,,,,,,,,,,,,
82,56.68,2005,lublin,floor_3,62997066,secondary,469000,8275,2022-04-19 12:32:06,2022-07-25 16:15:33,3,block,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-ul-szafirowej-ID4gkpI.html
83,84,1999,lublin,floor_2,63096451,secondary,655000,7798,2022-05-18 00:54:53,2022-07-25 14:41:07,4,block,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-blisko-lasu-ID4gKgH.html
84,64.7,1961,lublin,floor_2,63248177,secondary,515000,7960,2022-06-29 21:34:27,2022-07-29 21:37:45,4,block,https://www.otodom.pl/pl/oferta/4-pokoje-64-7m2-loggia-piwnica-ID4hnJT.html
85,58,1975,lublin,floor_4,62924017,secondary,489000,8431,2022-03-28 11:42:06,2022-07-26 12:30:49,4,block,https://www.otodom.pl/pl/oferta/4-pok-po-generalnym-remoncie-na-lsm-i-58m2-i-ID4g1pw.html
86,34,1965,lublin,floor_3,62808279,secondary,329000,9676,2022-02-23 14:32:32,2022-07-23 15:45:33,1,block,https://www.otodom.pl/pl/oferta/kawalerka-idealna-dla-pary-bronowice-do-wejscia-ID4fxiL.html
87,72,2011,lublin,ground_floor,62660687,secondary,709000,9847,2022-01-14 13:42:00,2022-07-13 15:00:53,4,block,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-z-duzym-tarasem-lsm-ID4eUUf.html
88,57.31,2010,lublin,floor_2,62831600,secondary,475000,8288,2022-03-02 11:31:15,2022-07-30 12:45:23,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-54m2-wrotkow-pilna-sprzedaz-ID4fDmU.html
89,59.38,2020,lublin,floor_2,63151518,secondary,549000,9246,2022-06-01 16:10:59,2022-07-27 17:08:42,3,block,https://www.otodom.pl/pl/oferta/sliczne-mieszkanie-w-nowym-bloku-bronowice-ID4gYAS.html
90,50.89,1972,lublin,floor_4,63145428,secondary,360000,7074,2022-05-31 13:52:54,2022-07-30 14:16:48,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-winda-piekny-widok-inwestycyjne-ID4gX0E.html
91,48.07,80,lublin,floor_3,62832731,secondary,349000,7260,2022-03-02 13:46:54,2022-07-16 14:43:41,2,block,https://www.otodom.pl/pl/oferta/ciche-i-sloneczne-2-pokojowe-mieszkanie-ID4fDF9.html
92,48.85,1968,lublin,floor_3,62469719,secondary,439000,8987,2021-11-08 14:11:27,2022-07-08 13:45:18,3,block,https://www.otodom.pl/pl/oferta/46m2-3-pokoje-do-wejscia-blisko-stare-miasto-ID4e7e7.html
93,34.7,2008,lublin,floor_3,62862497,secondary,339000,9769,2022-03-10 14:11:38,2022-07-27 17:24:10,1,block,https://www.otodom.pl/pl/oferta/fantastyczna-kawalerka-na-zamknietym-osiedlu-ID4fLpf.html
94,69,2022,lublin,floor_2,63041345,secondary,567318,8222,2022-05-02 23:10:53,2022-07-28 17:23:09,4,block,https://www.otodom.pl/pl/oferta/klucze-na-juz-eko-park-4pokoje-70m2-ID4gwWT.html
95,,,,,,,,,,,,,
96,39.91,2023,lublin,floor_3,62459235,primary,351208,8800,2021-11-04 17:20:37,2022-07-15 08:57:15,2,block,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokoje-40m2-czuby-2023r-ID4e4w1.html
97,65.5,2018,lublin,floor_2,63007943,secondary,599000,9145,2022-04-21 20:15:23,2022-07-20 21:00:13,3,block,https://www.otodom.pl/pl/oferta/nowoczesne-przestronne-mieszkanie-cicha-okolica-ID4gnf9.html
98,49.92,2022,lublin,floor_1,61868077,primary,404352,8100,2021-05-19 12:51:09,2022-07-15 09:00:55,3,block,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-3-pokoje-50m2-weglinek-2022r-ID4bAId.html
99,37.57,1959,lublin,ground_floor,62825509,secondary,389000,10354,2022-02-28 20:41:50,2022-07-28 21:45:24,2,block,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-centrum-lublina-38m2-ID4fBMF.html
100,,,,,,,,,,,,,
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,57.9,1980,lublin,floor_3,62811109,secondary,494000,8532,2022-02-24 10:12:22,2022-07-24 11:15:22,4,block,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-na-czechowie-i-58m2-i-ID4fy2p.html
104,,,,,,,,,,,,,
105,,,,,,,,,,,,,
106,48.3,1980,lublin,ground_floor,63040569,secondary,384000,7950,2022-05-02 13:52:35,2022-07-26 13:43:48,2,block,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-na-czechowie-i-48m2-i-parter-ID4gwJn.html
107,41.17,2021,lublin,floor_2,62570348,primary,366413,8900,2021-12-09 22:12:12,2022-07-14 15:27:36,2,apartment,https://www.otodom.pl/pl/oferta/mieszkania-czechow-od-6900zl-m2-ID4expa.html
108,61.37,1970,lublin,floor_5,62862053,secondary,640000,10429,2022-03-10 13:11:15,2022-07-25 14:20:40,3,block,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-po-generalnym-remoncie-na-lsm-ID4fLi5.html
109,,,,,,,,,,,,,
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,75.23,2023,lublin,ground_floor,63085789,primary,703400,9350,2022-05-16 10:05:27,2022-07-18 10:54:24,4,block,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-z-ogrodkiem-e-4-ID4gHuJ.html
113,54.7,1967,lublin,floor_1,63051972,secondary,489000,8940,2022-05-06 11:42:57,2022-07-18 16:04:07,3,block,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-lsmie-ID4gyHi.html
114,65.7,1995,lublin,floor_3,63142395,secondary,410000,6240,2022-05-30 17:35:26,2022-07-29 18:03:37,4,block,https://www.otodom.pl/pl/oferta/mieszkanie-lublin-konstantynow-4-pokoje-ID4gVdJ.html
115,42.57,2022,lublin,floor_3,63101352,primary,293733,6900,2022-05-19 09:41:08,2022-07-21 11:21:37,2,apartment,https://www.otodom.pl/pl/oferta/bez-wkladu-wlasnego-tylko-u-nas-okazja-ID4gLxK.html
116,29.79,2022,lublin,floor_1,63052066,primary,268110,9000,2022-05-06 12:01:02,2022-07-12 17:30:51,1,block,https://www.otodom.pl/pl/oferta/kawalerka-oddzielna-kuchnia-30m2-czuby-2022r-ID4gyIO.html
117,50,2013,lublin,floor_3,63347465,secondary,510000,10200,2022-07-28 14:09:43,2022-07-29 08:33:05,2,block,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-50m2-2-pok-dunikowskiego-ID4hNzj.html
118,62,1985,lublin,floor_3,63345844,secondary,465000,7500,2022-07-28 07:45:06,2022-07-29 07:11:54,3,block,https://www.otodom.pl/pl/oferta/czechow-62-mkw-3-pokoje-dobry-stan-ID4hN9a.html
119,,,,,,,,,,,,,
120,81,2002,lublin,floor_4,63349160,secondary,449000,5543,2022-07-28 22:22:14,2022-07-28 22:23:48,2,block,https://www.otodom.pl/pl/oferta/81-m2-ul-bursztynowa-garaz-bezposrednio-ID4hO0E.html
121,36.5,1965,lublin,floor_4,63348970,secondary,370000,10137,2022-07-28 20:45:16,2022-07-28 21:37:32,1,block,https://www.otodom.pl/pl/oferta/kawalerka-w-srodmiesciu-ID4hNXA.html
122,66.8,1995,lublin,floor_2,63349013,secondary,649000,9716,2022-07-28 21:10:08,2022-07-30 21:20:21,3,block,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-na-zielonym-slawinie-ID4hNYh.html
123,,,,,,,,,,,,,
124,,,,,,,,,,,,,
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,,,,,,,,,,,,,
128,57.91,2016,lublin,floor_2,63348873,secondary,620000,10706,2022-07-28 19:47:45,2022-07-29 10:43:54,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-felin-ID4hNV1.html
129,63.29,20015,lublin,floor_2,63243141,secondary,630000,9954,2022-06-28 18:20:36,2022-07-28 18:31:23,4,block,https://www.otodom.pl/pl/oferta/komfortowe-cztery-pokoje-przy-ul-gesiej-ID4hmqF.html
130,,,,,,,,,,,,,
131,48.98,1980,lublin,floor_4,63301995,secondary,409000,8350,2022-07-14 15:35:30,2022-07-28 16:14:17,3,block,https://www.otodom.pl/pl/oferta/3-pokoje-wrotkow-po-remoncie-ID4hBJW.html
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,58.09,2022,lublin,ground_floor,63242166,primary,440000,7574,2022-06-28 14:55:41,2022-07-28 15:02:13,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-z-ogrodem-weglinek-ID4hmaV.html
135,,,,,,,,,,,,,
136,38,1968,lublin,floor_4,63195435,secondary,375000,9868,2022-06-13 23:05:08,2022-07-28 13:25:19,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-blisko-um-ID4ha1d.html
137,70,2012,lublin,ground_floor,63188078,secondary,520000,7429,2022-06-11 10:35:16,2022-07-28 13:24:31,4,block,https://www.otodom.pl/pl/oferta/przestronne-4-pokoje-os-botanik-ID4h86y.html
138,36,1982,lublin,floor_7,63048552,secondary,309000,8583,2022-05-05 13:11:42,2022-07-28 13:23:06,1,block,https://www.otodom.pl/pl/oferta/kawalerka-z-duzym-balkonem-czechow-ID4gxO8.html
139,,,,,,,,,,,,,
140,,,,,,,,,,,,,
141,33.2,1981,lublin,ground_floor,63242168,secondary,349000,10512,2022-06-28 14:55:50,2022-07-29 13:06:12,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-nowoczesne-gotowe-blisko-um-balkon-ID4hmaY.html
142,41.6,1965,lublin,floor_2,63242161,secondary,388000,9327,2022-06-28 14:55:31,2022-07-29 13:06:49,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-nowoczesne-swieze-balkon-rozklad-ID4hmaR.html
143,,,,,,,,,,,,,
144,62,1976,lublin,floor_3,63227564,secondary,499000,8048,2022-06-23 17:44:52,2022-07-25 16:15:37,4,block,https://www.otodom.pl/pl/oferta/4-pokoje-po-remoncie-blisko-centrum-ID4hinq.html
145,,,,,,,,,,,,,
146,,,,,,,,,,,,,
147,53.34,2010,lublin,floor_1,63146397,secondary,448000,8399,2022-05-31 14:43:29,2022-07-30 15:01:38,2,block,https://www.otodom.pl/pl/oferta/sloneczne-dwupokojowe-mieszkanie-na-ponikwodzie-ID4gXgh.html
148,,,,,,,,,,,,,
149,69,2000,lublin,floor_1,63243623,secondary,575000,8333,2022-06-28 21:02:21,2022-07-30 21:05:39,4,block,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokoje-69m-1-pietro-z-garazem-ID4hmyr.html
150,,,,,,,,,,,,,
151,48.07,1980,lublin,floor_3,63025973,secondary,349000,7260,2022-04-27 14:21:07,2022-07-29 15:41:30,2,block,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-widokiem-na-piekna-zielen-ID4grWX.html
152,,,,,,,,,,,,,
153,64,2006,lublin,floor_2,63042413,secondary,519000,8109,2022-05-03 16:56:07,2022-07-19 07:44:21,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-64m2-bazylianowka-lublin-ID4gvd7.html
154,67.5,2022,lublin,floor_6,62931002,primary,599000,8874,2022-03-29 17:38:36,2022-07-29 18:47:07,3,apartment,https://www.otodom.pl/pl/oferta/usmiechnij-sie-apartament-3-pok-orkana-residence-ID4g3ea.html
155,82.78,1997,lublin,floor_3,62955406,secondary,535000,6463,2022-04-05 16:33:25,2022-07-26 12:09:39,4,block,https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-4-pokoje-czuby-ID4g9zM.html
156,57.51,2012,lublin,floor_1,62635738,secondary,549000,9546,2022-01-06 19:30:12,2022-07-29 14:54:07,3,block,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-57-51-lublin-ponikwoda-ID4eOpQ.html
157,,,,,,,,,,,,,
158,33.58,2011,lublin,ground_floor,63143642,secondary,355000,10572,2022-05-31 07:52:07,2022-07-30 08:15:11,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-w-nowym-bloku-na-dziesiatej-ID4gVxQ.html
159,43.62,2023,lublin,floor_2,62632925,primary,383856,8800,2022-01-05 15:55:51,2022-07-22 10:17:18,2,block,https://www.otodom.pl/pl/oferta/osiedle-jemioluszki-budynek-d-mieszkanie-m14-ID4eNGt.html
160,56.15,2023,lublin,floor_1,62632360,primary,482890,8600,2022-01-05 14:59:36,2022-07-22 10:17:08,3,block,https://www.otodom.pl/pl/oferta/osiedle-jemioluszki-budynek-ab-mieszkanie-m40-ID4eNxm.html
161,,,,,,,,,,,,,
162,51.18,2023,lublin,floor_3,62632642,primary,440148,8600,2022-01-05 15:22:30,2022-07-22 10:17:15,3,block,https://www.otodom.pl/pl/oferta/osiedle-jemioluszki-budynek-c-mieszkanie-m27-ID4eNBU.html
163,,,,,,,,,,,,,
164,,,,,,,,,,,,,
165,60.6,1985,lublin,floor_4,62944659,secondary,399000,6584,2022-04-02 09:37:12,2022-07-11 10:33:06,3,block,https://www.otodom.pl/pl/oferta/czuby-3-pokoje-piekna-zielona-okolica-ID4g6Mr.html
166,52,1954,lublin,floor_2,63153193,secondary,369000,7096,2022-06-02 09:53:09,2022-07-22 10:13:56,2,block,https://www.otodom.pl/pl/oferta/dwa-pokoje-drugie-pietro-bronowice-ID4gZ1T.html
